company_name,nse,exchange
Shriram Pistons and Rings Ltd,SHRIPISTON,NSE
International Gemmological Institute India Ltd,IGIL,NSE
Godawari Power & Ispat Ltd.,GPIL,NSE
Quality Power Electrical Eqp Ltd,QPOWER,NSE
Rainbow Children's Medicare Ltd.,RAINBOW,NSE
BlueStone Jewellery & Lifestyle Ltd.,BLUESTONE,NSE
Black Buck Ltd,BLACKBUCK,NSE
Bombay Burmah Trading Corporation Limited,BBTC,NSE
CMS Info System Limited,CMSINFO,NSE
Dr Agarwals Health Care Limited,AGARWALEYE,NSE
Ecos India Mobility And Hospitality Ltd,ECOSMOBLTY,NSE
NRB Bearings Ltd.,NRBBEARING,NSE
Five Star Business Finance Limited,FIVESTAR,NSE
Central Depository Services (I) Ltd.,CDSL,NSE
Afcom Holdings Limited,AFCOM,BSE
Anlon Technology Solutions Limited,ANLON,NSE
Finbud Financial Services Limited,FINBUD-SM,NSE
Horizon Reclaim (India) Limited,HORIZON,BSE
Q-Line Biotech Ltd,QLINE-SM,NSE
^^Powerica Limited,POWERICA,NSE
Gujarat Gas Limited,GUJGASLTD,BSE
AKZO NOBEL INDIA LTD,AKZOINDIA,NSE
AkzoNobel India Ltd.,AKZOINDIA,NSE
Adani Wilmar Limited,AWL,NSE
Affle India Ltd.,AFFLE,NSE
Amber Enterprises India Limited,AMBER,NSE
Credit Analysis And Research Ltd.,CARERATING,NSE
Crompton Greaves Consumer Elec. Ltd.,CROMPTON,NSE
Gujarat State Fert & Chemicals Ltd,GSFC,NSE
HAWKINS COOKER LTD,HAWKINCOOK,NSE
HDFC Bank Ltd,HDFCBANK,NSE
Heidleberg Cement India Ltd.,HEIDELBERG,NSE
Hindustan Petroleum Corp. Ltd.,HINDPETRO,NSE
ICICI Prudential AMC Ltd,ICICIAMC,NSE
Jindal Steel & Power Ltd,JINDALSTEL,NSE
KNR Construction limited.,KNRCON,NSE
KRISHNA INSTITUTE OF MEDICAL,KIMS,NSE
Kwality Wall's India Ltd,KWIL,NSE
Kwality Wall’s India Ltd,KWIL,NSE
L&T FINANCE HOLDINGS LTD,LTF,NSE
LTIMINDTREE LTD,LTIM,NSE
LTIMindtree Limited,LTIM,NSE
LTIMindtree Ltd.,LTIM,NSE
Mahindra Holidays & Resorts Ind Ltd,MHRIL,NSE
Minda Industries Ltd.,UNOMINDA,NSE
National Building Construction Corp,NBCC,NSE
Nippon Life Asset Management Ltd,NAM-INDIA,NSE
ORIENT ELECTIC LIMITED,ORIENTELEC,NSE
Oracle Financial Ser Software Ltd.,OFSS,NSE
PUNJAB ALKALIES AND CHEMICALS LTD,PUNJABCHEM,NSE
PVR LIMITED,PVRINOX,NSE
PVR LTD.,PVRINOX,NSE
Shopper Stop Ltd.,SHOPERSTOP,NSE
SKF INDIA Industrial Ltd.,SKFINDUS,NSE
Sundaram Clayton DCD Ltd.,SUNCLAY,NSE
Vedanta Aluminium Metal Limited,VAML,NSE
Vedanta Iron And Steel Limited,VISL,NSE
Zinka Logistics Solutions Ltd,BLACKBUCK,NSE
Genus Prime Infra Limited,GENUSPOWER,NSE
Pondy Oxides & Chemical Ltd.,POCL,NSE
Malco Energy Limited,MALCO,BSE
Malco Energy Ltd.,MALCO,BSE
